# Dungeons & Dolphins d100 starting trinkets.
# Numbering follows the standard 2014 Basic Rules / PHB d100 trinket table; labels are compact paraphrases.
# A hidden d100 is rolled only when Inventory first initializes for a character.
# Format: Roll|I|<live item record fields>
1|I|Goblin Hand|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
2|I|Moon Crystal|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
3|I|Coin|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
4|I|Diary|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
5|I|Untarnished Ring|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
6|I|Chessman|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
7|I|Skull Knucklebones|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
8|I|Nightmare Idol|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
9|I|Elf-Finger Necklace|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
10|I|Deed|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
11|I|Block|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
12|I|Doll|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
13|I|Tooth|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
14|I|Dragon Scale|Starting trinket||1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
